A,B,DISTANCE,CAPACITY,NUM_LANES,FTYPE,FFSPEED,ALPHA,BETA,TOLL_SEGNUM,TOLL_POLICY,TOLL_TYPE,TOLL,TOLLSEG_LEN,DIR1,DIR2,DIR3,DIR4,AM_TIME,MD_TIME,PM_TIME,EV_TIME,EA_TIME,AM_VC,MD_VC,PM_VC,EV_VC,EA_VC,AM_TOLL,MD_TOLL,PM_TOLL,EV_TOLL,EA_TOLL,AM_SOV,MD_SOV,PM_SOV,EV_SOV,EA_SOV,AM_HV2,MD_HV2,PM_HV2,EV_HV2,EA_HV2,AM_HV3,MD_HV3,PM_HV3,EV_HV3,EA_HV3,AM_TRK,MD_TRK,PM_TRK,EV_TRK,EA_TRK,TRK
100245,100247,0.2898,1650,1,96,75.7,0.75,4,0,0,1,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100246,26251,0.0219,1650,1,98,70.1,0.75,4,0,0,0,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100246,100242,0.4485,1800,2,96,75.7,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100247,100249,0.0086,1650,1,95,73.6,0.75,4,0,0,2,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100249,100261,1.2393,1650,1,96,75.7,0.75,4,0,0,1,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100259,100246,1.4742,1650,1,96,75.7,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100261,100267,0.5305,1650,1,96,70.1,0.75,4,0,0,1,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100266,100259,0.435,1650,1,96,70.1,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100267,100274,0.7516,1650,1,96,66.8,0.75,4,0,0,1,0,0,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100269,100266,0.4192,1650,1,96,66.8,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100271,100324,0.0434,2108,3,91,58.8,0.75,4,0,0,0,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100274,100276,0.2439,1650,1,96,66.8,0.75,4,11,5,1,0,3.06,0,1,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100276,100291,0.0417,1650,1,98,66.8,0.75,4,0,0,0,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100277,29046,0.0192,1650,1,96,68,0.75,4,0,0,1,0,0,0,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100278,100277,0.1371,1650,1,96,66.8,0.75,4,11,5,1,0,3.06,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100279,100278,0.0855,1650,1,96,66.8,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
100280,100158,5.4793,1800,2,96,75.7,0.75,4,0,0,1,0,0,1,0,0,0,0.29,0.13,0.15,0.12,0.12,1.18,0.59,0.77,0.42,0.16,0,0,0,0,0,6622,3257,4297,2315,827.3,0,0,0,0,0,0,0,0,0,0,864.8,476.1,577.9,319.7,187.3,1
