N,X,Y,DTA_Type,SEGNUM,Prohibit_Links,Time_Coef,Cost_Coef
204,844066.247300,400718.480200,99,    0,                                                  ,0,0
205,820412.496400,399245.873100,99,    0,                                                  ,0,0
206,821608.989600,427409.483200,99,    0,                                                  ,0,0
207,821056.761900,411302.843500,99,    0,                                                  ,0,0
208,947853.919400,636610.461100,99,    0,                                                  ,0,0
209,934407.263200,647937.818200,99,    0,                                                  ,0,0
210,923153.637000,645834.646900,99,    0,                                                  ,0,0
211,882634.313100,543082.262600,99,    0,                                                  ,0,0
212,884046.793300,532634.592900,99,    0,                                                  ,0,0
213,862151.717300,561951.367000,99,    0,                                                  ,0,0
214,871307.036300,557555.773100,99,    0,                                                  ,0,0
215,955052.716100,963248.856300,99,    0,                                                  ,0,0
216,888806.183600,734325.696600,99,    0,                                                  ,0,0
217,953551.946300,966500.524300,99,    0,                                                  ,0,0
218,927408.016100,966053.581600,99,    0,                                                  ,0,0
219,922955.156000,965271.781700,99,    0,                                                  ,0,0
220,908814.775900,966937.355300,99,    0,                                                  ,0,0
221,887536.223100,966903.364000,99,    0,                                                  ,0,0
222,856026.289600,965101.825200,99,    0,                                                  ,0,0
223,783331.411500,965221.472800,99,    0,                                                  ,0,0
224,685987.409700,879800.402500,99,    0,                                                  ,0,0
225,824851.475200,662882.758100,99,    0,                                                  ,0,0
226,806418.909100,657310.121900,99,    0,                                                  ,0,0
227,815559.061400,518934.361800,99,    0,                                                  ,0,0
228,832710.179200,380477.803700,99,    0,                                                  ,0,0
229,841220.298400,381981.917800,99,    0,                                                  ,0,0
3072,914178.000000,577918.000000,0,    0,                                                  ,0,0
12011,932807.000000,858228.000000,0,    0,                                                  ,0,0
12031,962973.000000,834973.000000,0,    0,                                                  ,0,0
12036,932466.797600,946487.628000,0,    0,                                                  ,0,0
12038,932822.838800,946402.144900,0,    0,                                                  ,0,0
12056,932537.818500,946416.584900,0,    0,                                                  ,0,0
12058,932457.626500,946312.436800,0,    0,                                                  ,0,0
12069,930528.375000,949386.687500,0,    0,                                                  ,0,0
12073,930571.312500,949409.937500,0,    0,                                                  ,0,0
12082,948965.937500,912137.125000,0,    0,                                                  ,0,0
12084,949310.317100,911943.263400,0,    0,                                                  ,0,0
12085,940120.437500,924520.000000,0,    0,                                                  ,0,0
12086,949006.840100,912288.314300,0,    0,                                                  ,0,0
