N,X,Y,DTA_Type,SEGNUM,Prohibit_Links,Time_Coef,Cost_Coef,VCOST
12457,927444,798515,0,0,0,-0.117,-0.584,0
12461,926708,831183,0,0,0,-0.117,-0.584,0
12465,937892,864118,0,0,0,-0.117,-0.584,0
12469,939256,912328,0,0,0,-0.117,-0.584,0
12473,930512,946781,0,0,0,-0.117,-0.584,0
12496,954128.75,851646.875,0,0,0,-0.117,-0.584,0
12498,954400.375,852027.125,0,0,0,-0.117,-0.584,0
12500,954542.6875,852205.625,0,0,0,-0.117,-0.584,0
12514,954843.8125,852797,0,0,0,-0.117,-0.584,0
12520,954951.375,852456.5625,0,0,0,-0.117,-0.584,0
12526,956362,852710.9375,0,0,0,-0.117,-0.584,0
12530,955847.1875,852786.4375,0,0,0,-0.117,-0.584,0
12532,955321.0625,852768.125,0,0,0,-0.117,-0.584,0
12535,880579,939292,0,0,0,-0.117,-0.584,0
12540,955774.875,852672.375,0,0,0,-0.117,-0.584,0
12583,931035.1875,947564.6875,0,0,0,-0.117,-0.584,0
12616,928295.25,798526.1875,0,0,0,-0.117,-0.584,0
12669,954101,758498,0,0,0,-0.117,-0.584,0
12673,954039,761317,0,0,0,-0.117,-0.584,0
12677,953857,761808,0,0,0,-0.117,-0.584,0
12679,942116,927651,0,0,0,-0.117,-0.584,0
12681,953920,758451,0,0,0,-0.117,-0.584,0
12685,954245,759690,0,0,0,-0.117,-0.584,0
12689,953830,759680,0,0,0,-0.117,-0.584,0
12695,940735,927693,0,0,0,-0.117,-0.584,0
12699,940264,927670,0,0,0,-0.117,-0.584,0
12707,939901,927651,0,0,0,-0.117,-0.584,0
12709,954054,764540,0,0,0,-0.117,-0.584,0
12713,954169,764526,0,0,0,-0.117,-0.584,0
12715,937979,927414,0,0,0,-0.117,-0.584,0
12717,953853,762641,0,0,0,-0.117,-0.584,0
12721,954022,762656,0,0,0,-0.117,-0.584,0
12725,953926,758137,0,0,0,-0.117,-0.584,0
12729,954087,758155,0,0,0,-0.117,-0.584,0
12731,935149,927142,0,0,0,-0.117,-0.584,0
12733,953723,751514,0,0,0,-0.117,-0.584,0
12737,953915,751741,0,0,0,-0.117,-0.584,0
12740,958559.5,852592.625,0,0,0,-0.117,-0.584,0
12741,951290,748864,0,0,0,-0.117,-0.584,0
12745,951362,748775,0,0,0,-0.117,-0.584,0
12749,945413,742478,0,0,0,-0.117,-0.584,0
12750,929139.375,854374.75,0,0,0,-0.117,-0.584,0
12753,945328,742519,0,0,0,-0.117,-0.584,0
12754,929368.75,854182.1875,0,0,0,-0.117,-0.584,0
12757,944419,738664,0,0,0,-0.117,-0.584,0
12761,944312,738704,0,0,0,-0.117,-0.584,0
12762,928730.9486,855666.9387,0,0,0,-0.117,-0.584,0
12764,929364.5537,855580.6501,0,0,0,-0.117,-0.584,0
12765,944656,736339,0,0,0,-0.117,-0.584,0
12768,935301.625,853544.75,0,0,0,-0.117,-0.584,0
12769,944557,736322,0,0,0,-0.117,-0.584,0
12770,935301.625,853005.125,0,0,0,-0.117,-0.584,0
12772,943407.375,853304.9375,0,0,0,-0.117,-0.584,0
12773,945025,732023,0,0,0,-0.117,-0.584,0
12776,946093.3125,852873.25,0,0,0,-0.117,-0.584,0
12777,944938,732011,0,0,0,-0.117,-0.584,0
12778,946103.5,853195.3125,0,0,0,-0.117,-0.584,0
12786,931000.3653,948358.4761,0,0,0,-0.117,-0.584,0
12814,931663.8125,947616,0,0,0,-0.117,-0.584,0
12826,933847.25,946279.6875,0,0,0,-0.117,-0.584,0
12828,933824.25,946775.75,0,0,0,-0.117,-0.584,0
12844,946762,891510.5625,0,0,0,-0.117,-0.584,0
12873,948475,882806,0,0,0,-0.117,-0.584,0
12881,950969,882713,0,0,0,-0.117,-0.584,0
12887,950827,916136,0,0,0,-0.117,-0.584,0
12911,956698,913851,0,0,0,-0.117,-0.584,0
12932,949944.5625,913079.4375,0,0,0,-0.117,-0.584,0
12939,948005,914313,0,0,0,-0.117,-0.584,0
12942,939763.9375,909282.875,0,0,0,-0.117,-0.584,0
12944,939816.0625,909308.9375,0,0,0,-0.117,-0.584,0
12951,947998,913994,0,0,0,-0.117,-0.584,0
12953,959967,806928,0,0,0,-0.117,-0.584,0
12955,951198.625,913560.375,0,0,0,-0.117,-0.584,0
12957,960256,806915,0,0,0,-0.117,-0.584,0
12963,915814,913383,0,0,0,-0.117,-0.584,0
12971,950570,913362,0,0,0,-0.117,-0.584,0
12975,947976,913405,0,0,0,-0.117,-0.584,0
13003,939305.5625,913009.25,0,0,0,-0.117,-0.584,0
13004,927306.125,742695,0,0,0,-0.117,-0.584,0
13006,927697.9375,742368.4375,0,0,0,-0.117,-0.584,0
13007,949515,912503,0,0,0,-0.117,-0.584,0
13008,927688.625,742083.9375,0,0,0,-0.117,-0.584,0
13012,926691.875,772669.5625,0,0,0,-0.117,-0.584,0
13015,939282.625,913095.625,0,0,0,-0.117,-0.584,0
13018,928952.8337,855681.731,0,0,0,-0.117,-0.584,0
13019,917457,912177,0,0,0,-0.117,-0.584,0
13020,929325.1074,853583.6848,0,0,0,-0.117,-0.584,0
13022,929330.0382,853788.3121,0,0,0,-0.117,-0.584,0
13027,925669,911971,0,0,0,-0.117,-0.584,0
13038,930726.25,857083.125,0,0,0,-0.117,-0.584,0
13039,939239,912721.25,0,0,0,-0.117,-0.584,0
13040,930769.8255,857057.4182,0,0,0,-0.117,-0.584,0
13042,939919.5,913235,0,0,0,-0.117,-0.584,0
13043,939287.9375,912715.5,0,0,0,-0.117,-0.584,0
13044,931303.1875,947869.75,0,0,0,-0.117,-0.584,0
13047,939283.75,912542.25,0,0,0,-0.117,-0.584,0
13050,940432.6875,913022.6875,0,0,0,-0.117,-0.584,0
13051,939239.1875,912546.6875,0,0,0,-0.117,-0.584,0
13059,933010,911793,0,0,0,-0.117,-0.584,0
13063,948712,911632,0,0,0,-0.117,-0.584,0
13067,937918,911664,0,0,0,-0.117,-0.584,0
13068,940410.5,913013.5625,0,0,0,-0.117,-0.584,0
13071,939252,911641,0,0,0,-0.117,-0.584,0
13072,940127.875,912889.8125,0,0,0,-0.117,-0.584,0
13075,938730.5625,911647.625,0,0,0,-0.117,-0.584,0
13080,939686.375,913156.8125,0,0,0,-0.117,-0.584,0
13082,939814,912999.25,0,0,0,-0.117,-0.584,0
13087,948362,911464,0,0,0,-0.117,-0.584,0
13091,947957,911393,0,0,0,-0.117,-0.584,0
13108,839905.375,869046.75,0,0,0,-0.117,-0.584,0
13116,801553.375,869780.375,0,0,0,-0.117,-0.584,0
