A,B,DISTANCE,CAPACITY,NUM_LANES,FTYPE,FFSPEED,ALPHA,BETA
150,31380,0.7519,10000,1,51,10,0.75,4
151,31520,0.1458,10000,1,51,12.5,0.75,4
151,31731,0.1526,10000,1,51,12.5,0.75,4
151,31802,0.2762,10000,1,51,10,0.75,4
151,31995,0.6327,10000,1,51,10,0.75,4
152,31974,0.1836,10000,1,51,10,0.75,4
152,32017,0.3319,10000,1,51,10,0.75,4
152,32019,0.3349,10000,1,51,10,0.75,4
153,31975,0.3304,10000,1,51,10,0.75,4
153,32174,0.2431,10000,1,51,12.5,0.75,4
154,28489,1.2419,10000,1,51,12.5,0.75,4
154,28530,1.2144,10000,1,51,12.5,0.75,4
154,31380,1.7691,10000,1,51,12.5,0.75,4
155,28490,1.3974,10000,1,51,12.5,0.75,4
155,32022,1.178,10000,1,51,10,0.75,4
156,32331,1.9585,10000,1,51,12.5,0.75,4
157,30920,0.5492,10000,1,51,15,0.75,4
157,31821,0.5834,10000,1,51,15,0.75,4
157,36319,0.9516,10000,1,51,15,0.75,4
158,29193,3.7856,10000,1,51,15,0.75,4
158,31094,4.8972,10000,1,51,15,0.75,4
158,31096,4.7808,10000,1,51,15,0.75,4
159,29904,0.3756,10000,1,51,12.5,0.75,4
159,29905,0.3426,10000,1,51,12.5,0.75,4
159,29909,0.242,10000,1,51,12.5,0.75,4
160,31131,0.9549,10000,1,51,12.5,0.75,4
160,34867,0.813,10000,1,51,12.5,0.75,4
161,28779,0.8512,10000,1,51,12.5,0.75,4
161,31131,0.9031,10000,1,51,12.5,0.75,4
161,34777,0.6589,10000,1,51,12.5,0.75,4
162,30069,2.0287,10000,1,51,15,0.75,4
162,31105,1.641,10000,1,51,12.5,0.75,4
162,32767,0.4068,10000,1,51,12.5,0.75,4
162,35305,0.8345,10000,1,51,12.5,0.75,4
163,28945,1.1816,10000,1,51,15,0.75,4
164,31105,1.0128,10000,1,51,12.5,0.75,4
164,31236,0.9836,10000,1,51,12.5,0.75,4
164,31257,1.7648,10000,1,51,12.5,0.75,4
164,33754,0.9191,10000,1,51,12.5,0.75,4
165,31469,0.4844,10000,1,51,12.5,0.75,4
165,31652,0.2205,10000,1,51,12.5,0.75,4
165,31662,0.2104,10000,1,51,12.5,0.75,4
165,31914,0.7164,10000,1,51,12.5,0.75,4
166,31635,0.6996,10000,1,51,12.5,0.75,4
166,31646,0.3359,10000,1,51,12.5,0.75,4
166,31895,0.6152,10000,1,51,12.5,0.75,4
167,31613,0.7642,10000,1,51,12.5,0.75,4
167,31621,0.2732,10000,1,51,12.5,0.75,4
167,31635,0.7661,10000,1,51,12.5,0.75,4
167,31876,0.7228,10000,1,51,12.5,0.75,4
168,28790,0.411,10000,1,51,12.5,0.75,4
168,31608,0.9045,10000,1,51,12.5,0.75,4
168,31613,1.207,10000,1,51,12.5,0.75,4
169,28871,0.5215,10000,1,51,12.5,0.75,4
169,30244,0.252,10000,1,51,12.5,0.75,4
169,31855,0.8609,10000,1,51,12.5,0.75,4
170,31566,0.9425,10000,1,51,12.5,0.75,4
170,31576,1.1198,10000,1,51,12.5,0.75,4
